MD5,Title,Author
75326bcbcc4b507b7f0d6b08ee789afa,The Neural Simulation Language: A System for Brain Modeling,"Alfredo Weitzenfeld, Michael A. Arbib, Amanda Alexander"
3a6d30f403c87823fb63df8fde092870,Principles of adaptive filters and self-learning systems,Anthony Zaknich
8ad3ac185bb840a62477073441093a86,Laboratory in Software Engineering (EECS 6170),"Daniel Jackson, Rob Miller"
bfa3c695da6ff16c16bbae4a7b36fb77,Algorithms for programmers: ideas and source code,Arndt J.
86d00bc3dfa00046b21c29a4f25fb4df,Parallel and distributed logic programming,"Bhattacharya A., Konar A., Mandal A."
86ec89f0a67279b6200707226b7989ec,Tree automata techniques and applications,"Comon H., et al."
807fb9f1a52809bb3a0aea66dd3be35f,The computer science of TeX and LaTeX,Eijkhout V.
7204b3f8799bccd3c78225ec5bd7729f,Functional programming,Fokker J.
cc6376a683c9a78b10c073aa2eddd3d5,Refactoring - Improving the Design of Existing Code,"Martin Fowler, Kent Beck, John Brant, William Opdyke, Don Roberts"
b7ee298af31132febf8a4568f7955d64,Concise Algorithmics: The Basic Toolbox,"Mehlhorn K., Sanders P."
c7a0c81ddf7c0e108e571a5554aa024d,Syntactic theory: a formal introduction,"Ivan A. Sag, Thomas Wasow"
53502109d0f9c74857bbb116ce827e96,Perl Programming for Biologists,D. Curtis Jamison
c496e35f1a8c24a761baa4dc1d8563df,Biostatistical Methods in Epidemiology,"Stephen C. Newman, Newman"
373e580cb6ae7b19a2fa17821a584229,Algorithms in computational biology,Pedersen C.N.S.
943260edc21663fa1ed73a4b07baf37c,Data analysis in molecular biology and evolution,Xihua Xia.
84f0d17ebb48c1d7211e90a9ff7bdf7e,Computer Algebra: Systems and Algorithms for Algebraic Computation,"J. H. Davenport, Y. Siret, Evelyne Tournier"
a48479c2c924fe36dff73b6d15fbc7c1,Lecture notes on computer algebra,Ziming Li.
9e92f230ec68b67c9bc5d9ea69489aab,Spatial data modeling for 3D GIS,"Alias Abdul-Rahman, Morakot Pilouk"
4f8f4dfdd36aa9b52ecf2efd9c332860,Computer graphics and geometric modeling: implementation and algorithms,Max K. Agoston
ee6d8c181e6497de816f8975770e037f,"Jim Blinn's Corner: Notation, Notation, Notation (Jim Blinn's Corner)",Jim Blinn
a4283a0ace31d2e31f58a4fedb05aab0,Scientific Visualization: The visual extraction of knowledge from data,"Georges-Pierre Bonneau, Thomas Ertl, Gregory M. Nielson"
d9d408c2246b6a104f22a45eff3a9b1a,Introduction to Computing with Geometry,"Adrian Bowyer, John Woodwark"
b8ff2f69a03b82d2f2ba8100ab287148,3-D Computer graphics. Mathematical introduction with OpenGL,Medhat H. Rahim
4c6c4db7864112e247c1b694de65286a,Computational geometry: methods and applications,Chen J.
5ad3511898a01754232f9b3989139acd,Shape analysis and structuring,"Leila de Floriani, Michela Spagnuolo"
c836311ef9cc5b26494259c1773b79da,Curve and surface reconstruction: Algorithms with mathematical analysis,Tamal K. Dey
6373c610a6a938dc67d7bcac78ce0dff,Pythagorean-hodograph curves: algebra and geometry inseparable,Rida Farouki
386ba006e8a3618853eadbc70f2b6b3f,Visibility algorithms in the plane,Subir Kumar Ghosh
aac852e5d1cc87e2dd0b85290a214716,Geometric and solid modeling,Christoph M. Hoffmann
486621655b361a582ecd1fefcb65d78f,Geometric properties for incomplete data,"Reinhard Klette, Ryszard Kozera, Lyle Noakes, Joachim Weickert"
11d53f66a5cb02452f17a69e39a6142e,A blossoming development of splines,Stephen Mann
70a3141a377c7b45710072c4c05a7dfc,Focus on 3D Terrain Programming,Trent (Trent Polack) Polack
942b6b22010a88955707a108d6076904,Implicit objects in computer graphics,"Luiz Velho, Jonas Gomes, Luiz H. de Figueiredo"
e59ed52ace67f86e75304915b377328c,Foundations of cryptography. Basic tools,Oded Goldreich
732e004392f10246c544ca3eaa4bbef3,A classical introduction to modern cryptography,Serge Vaudenay
86bd68e3835a2dcbd8bbc82f37f6b679,Discrete Math in Computer Science,"Bogart, Stein."
e82d835e056a70b9488416b628e70d4a,"Structural theory of automata, semigroups, and universal algebra","M. Goldstein, Valery B. Kudryavtsev, Ivo G. Rosenberg"
a64b0716ec3709667ed048d165f875d8,Schaum's outline of discrete mathematics,"Lipschutz S., Lipson M."
7c1458b1061097c257272b493f5e8178,Discrete mathematics,"J.Peilkan, K.Vesztergombi L.Lovasz"
b1bf94e86a4b6f8ab666d5a5bc0bfc9c,"Data Mining, a Heuristic Approach","Hussein A. Abbass, Ruhul Amin Sarker, Charles S. Newton"
129d5c17688d23acecf83bca0ba0993a,Artificial neural networks technology. DACS report,DARPA Neural Network Study (U.S.)
0fc293e8c168e5357fb0d6fbdc53e90d,Handbook of brain theory and neural networks,Michael A. Arbib
2bc1ad594c1d1e58bf112fb6c66092c6,Cellular neural networks and visual computing: foundation and applications,"Leon O. Chua, Tamas Roska"
ee8878be641ca473c53bb142af935c89,Introduction to neural networks,"Kroese B., van der Smagt P."
dfb63dfac800f816381a90b85c07a1ac,From computer to brain: foundations of computational neuroscience,William W. Lytton
0edee774beb832e399fc8e28a24891ed,Elements of artificial neural networks,"Kishan Mehrotra, Chilukuri K. Mohan, Sanjay Ranka"
282a49185be31ec551a5d6ea20414c07,Data Mining Using Grammar Based Genetic Programming and Applications,"Wong, Cheung."
a670b2f075822838d1debe6e0951bc71,"Coding Theory - Algorithms, Architectures, and Applications","Andre Neubauer, Jurgen Freudenberger, Volker Kuhn"
bb0283f61b7a5457d74caa9c791e11eb,[Article] A Mathematical Theory of Communication,Claude E. Shannon
645e464e0fdf663a2d19bc61ddc6bfb0,An Introduction to Fractal Image Compression,
493cfd38e6578a17908e0b19345d333a,Radiosity and Realistic Image Synthesis ,"Michael F. Cohen, John R. Wallace"
1efa24ef80e1a9e475d4433d1500c72d,Digital Image Processing (preview),"Rafael C. Gonzalez, Richard E. Woods"
03fa0880818518b668969e4600ae1b9e,Shape from positional-contrast,Gottfried; BjÃ¶rn
791eea2120e545b9403e0b77b951624e,Advances in discrete tomography and its applications,"Gabor T. Herman, Attila Kuba"
d9738150eee8a532d6458fe1aca2680b,Statistics and analysis of shapes,"Hamid Krim, Anthony Yezzi"
6dd14c952d2667c87dcbe6783bace475,Visualization in medicine and life sciences,"Lars Linsen, Hans Hagen, Bernd Hamann"
344cf29a1a4ca6b2698b3ea18932ba78,Lectures on image processing,Morse B.S.
b7408eeb6e37d1065b7d7e91fd14034f,Learning-Based Robot Vision: Principles and Applications,Josef Pauli (auth.)
6ddd739de1b3b210c3bdc0cd434a9986,"Visualization in medicine. Theory, algorithms, and applications",Bernhard Preim
51a9842046dfc29da8fe3bc617bb8237,"Mathematical Morphology: 40 Years On: Proceedings of the 7th International Symposium on Mathematical Morphology, April 18–20, 2005","Junior Barrera, Ronaldo Fumio Hashimoto (auth.), Christian Ronse, Laurent Najman, Etienne Decencière (eds.)"
0bc8fdce1d2c76e5d29b5193b9f1c8a8,Mathematical models for registration and applications to medical imaging,Scherzer O.
e9b48570188431c8c78b70bff236ff78,Handbook of biomedical image analysis,"David Wilson, Swamy Laxminarayan"
b9f87246fca100c68b853910fbb0c591,Computability and incompleteness. Lecture notes,Avigad J.
6791d5de4be55f7f12e6e57aa7e68419,Abstract state machines: A method for high-level system design and analysis,"Egon Boerger, Robert Staerk"
daec1e10ed077125888e573ef943263f,Abstract state machines: Solutions to exercises,"Egon Boerger, Robert Staerk"
fbb240574e6f5059fccdce95fab0ff38,"Introduction to complexity theory, lecture notes",Goldreich O.
8dd9011b86b30c55d43a77e0a6df81ae,Introduction to the theory of computation,Eitan Gurari
0ec718bf5662068803bb288616184b40,"Fortran 90 Handbook, complete ANSI-ISO reference","Jeanne C. Adams, Walter S. Brainerd, Jeanne T. Martin"
2d996a202fdd840e79a791a4eb854432,Object-oriented programming via Fortran 90-95,Ed Akin
f2f24088a4ac947b8f3b29ace552cb90,"Introduction to programming with Fortran 77, 90, 95, 2003","Chivers, Sleightholme."
4778b416945034ef3e437db4a418b810,Sourcebook of parallel computing,"Jack Dongarra, Ian Foster, Geoffrey C. Fox, William Gropp, Ken Kennedy, Linda Torczon, Andy White"
a8f9cbb5678e154329eece1edfb43980,Schaum's Outline of Visual Basic,Byron Gottfried
a64c2331a91d68e713fce9aa3dc48edc,The C++ STL - A Tutorial And Reference,Josuttis.
c3ee2f9f0afdd56166c384b6041d7b17,Python developer's handbook,Andre Lessa
6038c17e05d7e0d6aea576c798475875,Fortran 90 for Fortran 77 programmers,"Michael Metcalf, John K. Reid"
2cc73669f4f9e441d1c846b4bee3b9ce,Professional programmer's guide to Fortran 77,Page C
6b642f78e981065228180f77860d2b5a,Functional programming and parallel graph rewriting(free web version),"M. R. Sleep, M. J. Plasmeijer"
1d8fe3f24ecde9d7f04135cbf3e6bcca,Fortran 90: a conversion course for Fortran 77 programmers,"Walter S. Brainerd, Charles H. Goldberg, Jeanne C. Adams"
a6dd5119aba75eb66d5550fbff09ed4a,Quantum Information Processing,Luecke W.
2bc8d05c600973e3793fe3c29c1a0357,Quantum Approach to Informatics,"Stig Stenholm, Kalle-Antti Suominen"
09a62995320fc3558228b6fd9c069ea3,Membrane Technology and Applications,Richard Baker
b1ef9758f3c5f94f3aac600b3854415e,Synthesis and optimization of DSP algorithms,"Constantinides, Cheung, Luk."
87e2e8ffccd6507cd2678667dbf9ed54,Fundamentals of engineering. Supplied reference handbook for examination,
915db98f3bfb89199807b32ccf851004,Photonic Crystals - From Theory to Practice,"Steven G. Johnson, John D. Joannopoulos"
4e92bef65505373100b8262e1c08d6a3,Structure and interpretation of signals and systems,"Lee, Varaiya."
ce2033646fa5cd13aea42a880e261ca8,Basic ship theory,"KJ Rawson, E. C. Tupper"
d4344adc745fc86f1dd93b3c9560e48f,Basic ship theory,"E. C. Tupper, KJ Rawson"
4c90b9ed62667494233cd1d8cd8ecdfc,Robot mechanisms and mechanical devices illustrated,Paul Sandin
2a1027cdf898f0c708f53c65d04abf2d,Soil mechanics,Verruijt A.
3a3b15886eb0a421062b9332b2d43dea,High Integrity Die Casting Processes,Edward J. Vinarcik
7101f56b9f45290b73d25c1d38932f0c,"Measurement, Instrumentation and Sensors Handbook",John G. Webster
b320f0bfc436006531ac73c88944df47,"Leaving Earth: Space Stations, Rival Superpowers, and the Quest for Interplanetary Travel",Robert Zimmerman
5301f7d895895b3c0e11973fea461977,"Electronic Excitations in Organic Based Nanostructures, Volume 31","G. Franco Bassani, V. M. Agranovich"
96377b863782a045ed0a758ae984a863,Fundamentals of Power Electronics: book for instructors,Robert W. Erickson
2100fee00ba9846a7c9765bd9bbc2ffa,Penguin dictionary of electronics,David Howard
69f0d1fd26d461ff6d9d8e9a915056a9,Nanoscale science and technology,"Robert Kelsall, Ian W. Hamley, Mark Geoghegan"
0670f15c7cb34c5682918c66e187ee7f,Lessons in electric circuits 1 - DC,Kuphaldt.
bf9367fc1b7fe12c61146467fd44e8f2,Lessons in electric circuits 2 - AC,Kuphaldt.
f78ee7b4544112479794cb4766cb1240,Lessons in electric circuits 3 - Semiconductors,Kuphaldt.
