md5,title,author
f633b161a8a2b0443c5442962c20d2be,"First Ladies Fact Book -- Revised and Updated: The Childhoods, Courtships, Marriages, Campaigns, Accomplishments, and Legacies of Every First Lady from Martha Washington to Michelle Obama",Bill Harris; Laura Ross
dc347ea4bf59df356c92b90bc1242ba7,"The Mom Inventors Handbook, How to Turn Your Great Idea into the Next Big Thing, Revised and Expanded 2nd Ed",Tamara Monosoff
296c6c60aa28c66b635b4712fcf7dde4,Disney Pixar Character Encyclopedia Updated and Expanded,Shari Last
fdfcc3deb014ee03b1e6f922f542855f,"ATI TEAS Secrets Study Guide: TEAS 6 Complete Study Manual, Full-Length Practice Tests, Review Video Tutorials for the Test of Essential Academic Skills, Sixth Edition",TEAS Exam Secrets Test Prep Staff
40917580bba065b1ffc6c309a9b1d883,"Great Book of Dragon Patterns: The Ultimate Design Sourcebook for Artists and Craftspeople, Revised and Expanded",Lora S. Irish
efb0a56a6fe6898cfcb9b03baac78822,"Great Book of Woodburning, 2nd Revised Expanded Edition",Lora S. Irish
87b52ecb1b9f6e2efe2fa72fd302c83d,"Engineering Drawing and Design, 6th edition","David A. Madsen, David P. Madsen"
97c8b9e746f85f0de8626eef26c71a61,"Setting Limits with Your Strong-Willed Child, Revised and Expanded 2nd Edition: Eliminating Conflict by Establishing CLEAR, Firm, and Respectful Boundaries",Robert J. Mackenzie
677274aa798f419d921d0d676ecd7337,"The Dictionary of Demons: Names of the Damned, Expanded & Revised Edition",M. Belanger
8e79a9cd50246e373de123e921bb6e67,"Every Man's Battle, Revised and Updated 20th Anniversary Edition: Winning the War on Sexual Temptation One Victory at a Time","Stephen Arterburn, Fred Stoeker, Mike Yorkey"
092b22df9535380bfca2be4a4cdc7baa,"The Oxford Companion to English Literature, 7th Edition",Dinah Birch
46c2e8786d8a4d002e7bd13a6c7ca68a,Analyzing Moral Issues 7th Edition,Judith Boss
9f4955f41ab90802107c9d4c96bfe2c2,"Separation Process Engineering: Includes Mass Transfer Analysis, 5th Ed.",Phillip C. Wankat
5972b4086d60bb6631daed888614651f,DAVIDSON'S MEDICINE 23RD EDITION _ PART 2(Emergency and Critical Care Medicine _ Chapter 7 to 10),Davidson's
befad026640b71a6a0299aca1b5583c0,"The Fortune at the Bottom of the Pyramid, Revised and Updated 5th Anniversary Edition: Eradicating Poverty Through Profits",C.K. Prahalad
a607856d3e43aa3d7becdb1508ddc815,DAVIDSON'S 23RD EDITION _ PART 3(Clinical Medicine _ Chapter 21 to 24),Davidson's
8f657ecacd70981fcf93a6a1a0e34a41,Learning Tableau 2022 - Fifth Edition,Joshua N. Milligan
3f05116ba8eb20bc8c6465aafa6a6f5a,Harvest of Empire: A History of Latinos in America: Second Revised and Updated Edition,Juan Gonzalez
2b53c878e2f5f3135cdaaad8bf38511d,DAVIDSON'S MEDICINE 23RD EDITION _ PART 1 (Fundamentals of Medicine),Davidson's
f658c872959198708dc25c1e4bbe7760,The New American Heart Association Cookbook: Revised and Updated with More Than 100 All-New Recipes,American Heart Association
4f940032e91e3012bd4b61dc2b72405e,"Aircraft Electricity and Electronics, Sixth Edition",Thomas Eismin
3c3fe4c042cfe5c9de8e83523e90ca2b,"The Complete Book of Woodcarving, Updated Edition: Everything You Need to Know to Master the Craft",Everett Ellenwood
0e05b7189cfff0fc32c4bda0d120d5fe,Agnes's Jacket: A Psychologist's Search for the Meanings of Madness.Revised and Updated with a New Epilogue by the Author,Gail A. Hornstein
03e955956683b59a566ba12e777e97f0,"Wired For Sound: A Journey Into Hearing, Revised And Updated, With A New Postscript",Beverly Biderman
01bc46fc914e4eb213afb67bbbfad506,"14,000 Things to Be Happy About.: Newly Revised and Updated",Barbara Ann Kipfer
7a3f58ff688e85d7a692d354a722520d,Acting in Television Commercials for Fun and Profit: Fully Updated 4th Edition,Squire Fridell
496c34a40e04f75927d8136c2c93ae74,"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, 6th Edition",Jeremy J. Siegel
c9743eb26f70cb40d494d45c12c2c204,Veterinary Histology of Domestic Mammals and Birds 5th Edition: Textbook and Colour Atlas (Veterinary Clinical Reference),Hans-Georg Liebich
6d362f1fb371f6c341b422dc7fa7be4d,"Requirements for Electrical Installations : IET wiring regulations (18th ed), BS 7671:2018+A2:2022",The Institution of Engineering and Technology
a4a06da70318b3805466d88afa12888a,Peak: How Great Companies Get Their Mojo from Maslow Revised and Updated,Chip Conley
1058b55b915a4ba55d0dc13b610a8966,"The Shopping Revolution, Updated and Expanded Edition: How Retailers Succeed in an Era of Endless Disruption Accelerated by COVID-19",Barbara E. Kahn
210e157f0cb329fe5d37de1926483b69,Davidson's Principles and Practice of Medicine. 23rd edition,"Stuart H Ralston (ed.), Ian D. Penman (ed.), Mark WJ Strachan (ed.), Richard P Hobson (ed.)"
ab65756955b3ed1dc911cd5eeab22119,"Ultimate Guide: Decks, 5th Edition: 30 Projects to Plan, Design, and Build (Creative Homeowner) Over 700 Photos & Illustrations, with Step-by-Step Instructions on Adding the Perfect Deck to Your Home",Creative Homeowner Editors
52b1b9c4ea43dce593ae53e15ee97fb1,Bad Judgment -- Revised and Updated: The Myths of First Nations Equality and Judicial Independence in Canada,John Reilly
5cd51c4d3a5d8176addb01b0b1459926,"The G.I. Diet, Revised and Updated",Rick Gallop
